city,post_date,price,title,url
Fast and Reliable Private Funding for Real Estate Investors Like You,2017-06-27 11:16am,,kansascity,https://kansascity.craigslist.org/reo/6194983280.html

ARE YOU KIDDING ME? DOWNTOWN CONDO AT THIS PRICE?,2017-06-25  6:31pm,,sanmarcos,https://sanmarcos.craigslist.org/reb/6192802699.html

Residential lot for sale in Wimberley,2017-06-28 10:19am,,sanmarcos,https://sanmarcos.craigslist.org/reo/6196309786.html

A LOT OF HOUSE FOR THE MONEY!!!,2017-06-27  8:11pm,$281395,raleigh,https://raleigh.craigslist.org/reo/6195684315.html

Wholesaler with a great investment property!!!,2017-07-06  9:20pm,,kansascity,https://kansascity.craigslist.org/reo/6208062645.html

"Downtown Cary, NC.  2.59 acres. No HOA.",2017-07-05  3:56am,,raleigh,https://raleigh.craigslist.org/reo/6205158871.html

Nice Sundancer Mobile Home DW,2017-06-19  1:42pm,$18000,sanmarcos,https://sanmarcos.craigslist.org/reb/6183725182.html

Nice 2005 Palm Harbor Doublewide,2017-07-06  3:38pm,$37000,sanmarcos,https://sanmarcos.craigslist.org/reb/6207631153.html

Money For Investment Properties,2017-07-07  6:34am,,kansascity,https://kansascity.craigslist.org/reo/6208340819.html

city,post_date,price,title,url

kansascity,2017-07-07 11:26am,,Two properties as package deal,https://kansascity.craigslist.org/reo/6208763519.html

kansascity,2017-07-05 10:11am,$16500,3 Bedroom House for Sale in KCK!,https://kansascity.craigslist.org/reo/6205492687.html

kansascity,2017-06-15 10:19am,$360000,*Owner Finance*50K down commercial property.Building for sale,https://kansascity.craigslist.org/reo/6177880302.html

kansascity,2017-07-07  9:36am,$37499,Home needs some TLC but has potential.,https://kansascity.craigslist.org/reo/6208559583.html

kansascity,2017-07-07  9:28am,,News about Investment Properties,https://kansascity.craigslist.org/reo/6208546389.html

kansascity,2017-07-07  9:36am,$28700,27 th  and paseo great  steal fixer upper for the right person,https://kansascity.craigslist.org/reo/6208559185.html

